 0, 0
 1, 0
 2, 0
 3, 0
 4, 0
 5, 0
 6, 0
 7, 491
 8, 106
 9, 118
 10, 87
 11, 112
 12, 98
 13, 91
 14, 67
 15, 98
 16, 76
 17, 94
 18, 91
 19, 138
 20, 111
 21, 111
 22, 133
 23, 143
 24, 155
 25, 157
 26, 182
 27, 226
 28, 211
 29, 161
 30, 205
 31, 194
 32, 193
 33, 191
 34, 217
 35, 258
 36, 226
 37, 225
 38, 250
 39, 243
 40, 262
 41, 245
 42, 267
 43, 330
 44, 217
 45, 268
 46, 246
 47, 253
 48, 269
 49, 241
 50, 251
 51, 336
 52, 245
 53, 227
 54, 255
 55, 241
 56, 253
 57, 267
 58, 250
 59, 322
 60, 205
 61, 236
 62, 227
 63, 211
 64, 196
 65, 223
 66, 177
 67, 248
 68, 164
 69, 196
 70, 192
 71, 213
 72, 168
 73, 202
 74, 164
 75, 232
 76, 159
 77, 163
 78, 160
 79, 172
 80, 142
 81, 144
 82, 145
 83, 221
 84, 161
 85, 142
 86, 162
 87, 142
 88, 149
 89, 170
 90, 144
 91, 202
 92, 134
 93, 144
 94, 158
 95, 154
 96, 135
 97, 154
 98, 144
 99, 184
 100, 129
 101, 147
 102, 146
 103, 135
 104, 141
 105, 117
 106, 144
 107, 179
 108, 122
 109, 135
 110, 126
 111, 135
 112, 123
 113, 126
 114, 123
 115, 150
 116, 118
 117, 114
 118, 128
 119, 129
 120, 121
 121, 116
 122, 120
 123, 172
 124, 127
 125, 129
 126, 144
 127, 135
 128, 136
 129, 148
 130, 148
 131, 180
 132, 136
 133, 116
 134, 134
 135, 127
 136, 109
 137, 132
 138, 144
 139, 165
 140, 129
 141, 122
 142, 133
 143, 138
 144, 132
 145, 133
 146, 153
 147, 175
 148, 149
 149, 139
 150, 144
 151, 152
 152, 156
 153, 169
 154, 144
 155, 209
 156, 171
 157, 172
 158, 144
 159, 156
 160, 173
 161, 171
 162, 157
 163, 203
 164, 164
 165, 169
 166, 175
 167, 158
 168, 177
 169, 184
 170, 163
 171, 247
 172, 220
 173, 205
 174, 211
 175, 203
 176, 211
 177, 207
 178, 233
 179, 303
 180, 250
 181, 240
 182, 234
 183, 273
 184, 272
 185, 286
 186, 276
 187, 405
 188, 304
 189, 336
 190, 414
 191, 379
 192, 428
 193, 554
 194, 554
 195, 877
 196, 703
 197, 815
 198, 941
 199, 1063
 200, 1208
 201, 1278
 202, 1218
 203, 1725
 204, 1412
 205, 1433
 206, 1484
 207, 1539
 208, 1409
 209, 1342
 210, 1249
 211, 1643
 212, 1116
 213, 1057
 214, 888
 215, 740
 216, 694
 217, 581
 218, 510
 219, 531
 220, 313
 221, 292
 222, 268
 223, 224
 224, 213
 225, 155
 226, 175
 227, 161
 228, 99
 229, 69
 230, 68
 231, 56
 232, 49
 233, 26
 234, 25
 235, 28
 236, 12
 237, 10
 238, 4
 239, 7
 240, 3
 241, 3
 242, 0
 243, 0
 244, 0
 245, 0
 246, 0
 247, 0
 248, 0
 249, 0
 250, 0
 251, 0
 252, 0
 253, 0
 254, 0
